timestamp,open,high,low,close,volume,buy_volume,sell_volume,imbalance
2025-07-09T11:33:00+05:30,2004.0,2005.0,2003.8,2004.7,2463,4814,-29,1.0121212121212122
2025-07-09T11:36:00+05:30,2004.7,2005.9,2004.6,2005.7,26010,1678,-2417,0.0
2025-07-09T11:39:00+05:30,2005.6,2005.9,2005.0,2005.5,3123,-1101,214,0.0
2025-07-09T11:42:00+05:30,2005.8,2006.7,2005.3,2006.4,5686,192,-3599,0.0
2025-07-09T12:03:00+05:30,2003.9,2004.0,2003.9,2003.9,10079,5724,-19666,0.0
2025-07-09T12:06:00+05:30,2003.9,2007.7,2003.9,2007.5,21467,13498,-23076,0.0
2025-07-09T12:09:00+05:30,2007.5,2007.7,2006.2,2006.8,17281,550,36937,-0.9706564942513405
2025-07-09T12:12:00+05:30,2006.6,2008.4,2006.5,2008.2,2339,-1659,-38948,0.0
2025-07-09T12:15:00+05:30,2007.9,2008.7,2007.0,2007.4,7725,-78,6538,-1.0241486068111456
2025-07-09T12:18:00+05:30,2007.5,2008.0,2007.1,2007.6,2470,3991,-157,1.0818988002086594
2025-07-09T12:21:00+05:30,2007.6,2008.5,2007.6,2008.2,3121,1662,-1448,14.532710280373832
2025-07-09T12:24:00+05:30,2008.2,2008.7,2007.6,2008.5,6765,6012,-1943,1.9550258048660605
2025-07-09T12:27:00+05:30,2008.6,2008.9,2008.3,2008.8,2306,-4249,10689,-2.3195652173913044
2025-07-09T12:30:00+05:30,2008.8,2010.4,2008.5,2009.7,4886,-7497,-149450,0.0
2025-07-09T12:33:00+05:30,2009.7,2011.0,2009.3,2011.0,3407,1520,4020,-0.45126353790613716
2025-07-09T12:36:00+05:30,2010.9,2011.0,2010.5,2010.9,10167,2204,-9552,0.0
2025-07-09T12:39:00+05:30,2011.0,2012.2,2011.0,2011.4,4327,-3157,-5955,0.0
2025-07-09T12:42:00+05:30,2011.4,2011.4,2010.0,2010.2,1715,-3842,11502,-2.0031331592689297
2025-07-09T12:45:00+05:30,2010.4,2010.6,2007.7,2009.8,7514,70,-9642,0.0
2025-07-09T12:48:00+05:30,2009.8,2010.4,2009.8,2009.9,2529,-1105,4728,-1.6099917195694176
2025-07-09T12:51:00+05:30,2010.0,2010.0,2009.7,2010.0,1400,498,5227,-0.8260262008733624
2025-07-09T12:54:00+05:30,2010.0,2010.0,2009.7,2009.8,988,2828,3840,-0.15176964607078583
2025-07-09T12:57:00+05:30,2009.9,2010.0,2009.7,2010.0,4135,4398,6358,-0.18222387504648568
2025-07-09T13:00:00+05:30,2010.0,2010.0,2009.7,2009.9,1339,-5566,1470,0.0
2025-07-09T13:03:00+05:30,2009.8,2010.0,2006.6,2009.0,9820,-12637,10953,0.0
2025-07-09T13:06:00+05:30,2008.5,2009.6,2008.4,2009.0,2603,1933,-2522,0.0
2025-07-09T13:09:00+05:30,2009.0,2009.5,2008.6,2009.5,1362,6760,2509,0.4586255259467041
2025-07-09T13:12:00+05:30,2009.5,2010.0,2009.3,2009.9,2932,4405,-268,1.1295624848924342
2025-07-09T13:15:00+05:30,2010.0,2010.4,2009.8,2010.0,1673,254,-1126,0.0
2025-07-09T13:18:00+05:30,2009.9,2010.0,2009.0,2009.2,4996,-10312,9100,0.0
2025-07-09T13:21:00+05:30,2009.3,2012.9,2009.0,2012.9,5026,19655,-39747,0.0
2025-07-09T13:24:00+05:30,2013.0,2013.7,2011.8,2011.8,7292,-15769,12923,0.0
2025-07-09T13:27:00+05:30,2011.8,2012.2,2011.3,2011.5,1656,2003,9234,-0.6434991545786242
2025-07-09T13:30:00+05:30,2011.4,2012.9,2011.0,2012.0,6109,-4233,8382,-3.0404916847433117
2025-07-09T13:33:00+05:30,2012.3,2012.7,2011.8,2012.2,2971,8808,-313,1.0736904061212478
2025-07-09T13:36:00+05:30,2012.3,2012.6,2012.0,2012.2,5081,15101,7892,0.3135302048449528
2025-07-09T13:39:00+05:30,2012.2,2012.6,2012.0,2012.6,3617,-2898,766,0.0
2025-07-09T13:42:00+05:30,2012.6,2013.0,2011.8,2011.8,7991,-6256,12888,-2.8866103739445115
2025-07-09T13:45:00+05:30,2011.8,2012.6,2011.3,2012.0,18466,2183,-2557,0.0
2025-07-09T13:48:00+05:30,2011.7,2011.7,2008.4,2008.4,2617,-9564,8115,0.0
2025-07-09T13:51:00+05:30,2008.6,2011.4,2008.3,2011.1,3558,7384,-2763,2.1958450551828608
2025-07-09T13:54:00+05:30,2011.1,2011.3,2010.1,2010.9,1550,3229,1214,0.453522394778303
2025-07-09T13:57:00+05:30,2010.2,2011.1,2010.2,2011.0,1096,5604,12070,-0.36584813850854364
2025-07-09T14:00:00+05:30,2010.5,2011.4,2009.6,2009.9,3391,-7336,-1294,0.0
2025-07-09T14:03:00+05:30,2009.9,2010.0,2009.1,2009.6,1553,1395,3964,-0.4793804814331032
2025-07-09T14:06:00+05:30,2009.6,2010.0,2008.9,2010.0,3358,-5822,2297,0.0
2025-07-09T14:09:00+05:30,2010.0,2010.0,2008.3,2009.0,1864,402,2669,-0.7381960273526539
2025-07-09T14:12:00+05:30,2009.0,2009.0,2008.5,2008.6,1646,2041,-555,1.746971736204576
2025-07-09T14:15:00+05:30,2008.8,2009.0,2008.1,2008.7,1949,913,5060,-0.6942909760589319
2025-07-09T14:18:00+05:30,2008.7,2010.5,2008.1,2010.5,5457,6766,-10889,0.0
2025-07-09T14:21:00+05:30,2010.5,2011.0,2009.8,2011.0,8001,2656,-4422,0.0
2025-07-09T14:24:00+05:30,2011.0,2011.1,2008.4,2009.3,2462,-6435,-3354,0.0
